occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial,n_workers_weighted_round
6222,Retail and wholesale buyers,62.00000000,2.28999996,4.78999996,4.17000008,1.05999994,4.98000002,2.01999998,2.20000005,3.03999996,3.17000008,2.45000005,1.50999999,2.14000010,1.12000000,4735
6231,Insurance agents and brokers,62.00000000,2.34000015,4.77500010,4.50000000,1.27499998,4.89499998,1.70000005,2.10999990,3.08500004,3.14499998,2.78999996,1.23500001,1.28999996,1.00000000,10960
6232,Real estate agents and salespersons,62.00000000,2.88999987,4.81999969,4.15999985,1.19000006,4.75000000,2.48000002,3.59499979,3.50000000,3.68499994,4.55500031,1.13000000,1.21499991,1.12000000,18115
6235,Financial sales representatives,62.00000000,2.27750015,4.71500015,4.00500011,1.19250000,4.61000013,1.05500007,1.35750008,2.78250003,3.50000000,1.76999998,1.05250001,1.04999995,1.03250003,8615
6311,Food service supervisors,63.00000000,3.22000003,4.84999990,4.76999998,2.01999998,4.48000002,1.45000005,2.40000010,4.80999994,3.69000006,1.53999996,1.00000000,4.42000008,1.47000003,6460
6312,Executive housekeepers,63.00000000,2.98000002,4.44499969,3.11999989,2.96499991,4.36999989,1.27999997,1.98000002,2.85500002,3.48000002,1.80999994,1.39999998,3.96000004,1.28500009,840
6313,"Accommodation, travel, tourism and related services supervisors",63.00000000,3.06250000,4.77500010,4.18000031,1.88000000,4.62750006,1.49749994,1.99000001,3.90999985,3.66499996,1.86500001,1.25000000,2.14249992,1.28499997,965
6314,Customer and information services supervisors,63.00000000,3.19000006,4.69999981,4.00000000,1.37000000,4.92999983,1.09000003,1.21000004,2.89000010,3.04999995,1.29999995,1.00999999,1.39999998,1.03999996,840
6315,Cleaning supervisors,63.00000000,2.63499999,4.67500019,3.74499989,1.98000002,4.81999969,1.53499997,2.62500000,3.31999993,2.50999999,2.47499990,1.75500000,3.33500004,1.55500007,1170
6316,Other services supervisors,63.00000000,2.31999993,4.92000008,3.66000009,1.09000003,4.96999979,1.63999999,2.56999993,3.59999990,1.85000002,2.34999990,1.71000004,3.02999997,1.65999997,2025
6321,Chefs,63.00000000,2.84999990,4.69999981,3.74000001,1.59000003,4.88000011,2.15000010,2.00000000,4.21999979,3.44000006,1.64999998,1.07000005,3.76999998,1.55999994,13735
6322,Cooks,63.00000000,2.79200006,3.97000003,3.35200000,1.61199999,4.32200003,1.31000006,1.46799994,3.41199994,3.06400013,1.36000001,1.07400000,3.24799991,1.07200003,37440
6331,"Butchers, meat cutters and fishmongers - retail and wholesale",63.00000000,2.73333335,3.76666665,3.73666668,1.59666669,4.09000015,1.06666660,1.74666667,4.11333323,2.71666670,1.68333340,1.17999995,4.70333338,2.42999983,2410
6332,Bakers,63.00000000,2.71000004,4.18499994,2.96500015,1.26999998,4.31999969,1.10500002,1.19499993,2.78500009,2.53999996,1.49000001,1.35500002,4.48999977,1.78999996,7230
6341,Hairstylists and barbers,63.00000000,3.69500017,4.81500006,3.92499995,2.81500006,4.55999994,1.00000000,1.00000000,4.73999977,4.47000027,1.17000008,1.00000000,2.96500015,1.00999999,14745
6342,"Tailors, dressmakers, furriers and 
milliners",63.00000000,2.29999995,3.65499997,3.50500011,1.25000000,4.21500015,1.13499999,1.13499999,2.98500013,3.51499987,1.49000001,1.05500007,1.20500004,1.15999997,2620
6343,Shoe repairers and shoemakers,63.00000000,2.23499990,3.71999979,2.16499996,1.07999992,3.77500010,1.12000000,1.33500004,3.32000017,2.13000011,1.23000002,1.03500009,3.21500015,1.20499992,170
6344,"Jewellers, jewellery and watch repairers and related occupations",63.00000000,1.98249996,3.86999989,3.55500007,1.00749993,4.53999996,1.07749999,1.07249999,3.27750015,3.00999999,1.33999991,1.00000000,2.97749996,1.50500000,835
6345,Upholsterers,63.00000000,2.39000010,3.65000010,2.58999991,1.09000003,3.78999996,1.20000005,1.20000005,3.46000004,2.95000005,1.28999996,1.30999994,3.93000007,1.30999994,625
6346,Funeral directors and embalmers,63.00000000,4.46333313,4.65666676,4.41666651,3.87333345,4.32666683,2.80666685,3.80666661,3.87333345,4.32333326,4.21333361,1.15333331,3.56333351,2.62333345,520
